cid000004051	M01
cid009832423	C10
cid000010112	A02
cid000010112	A12
cid025077993	H01
cid006436054	A07
cid000071682	N06
cid000002763	C10
cid000036273	J01
cid000002726	N05
cid000005668	C04
cid000000253	A11
cid006918182	M05
cid005381226	J04
cid000208908	L01
cid000039214	L01
cid000004043	S01
cid000011192	A16
cid000005471	J01
cid000000864	A16
cid000002733	M03
cid000000187	S01
cid000002548	M02
cid000002548	N01
cid016129629	J01
cid000157688	L01
cid000003015	G03
cid000010101	N02
cid005353894	V03
cid000065589	N06
cid000002978	A04
cid000005002	N05
cid000037465	L01
cid000033625	C02
cid000666418	J04
cid000016575	R06
cid000032744	L03
cid000002550	C09
cid000071798	C02
cid000004748	N05
cid000005917	R07
cid000122197	V09
cid000029566	B05
cid000022502	J01
cid000017506	B02
cid000667490	L01
cid000003512	D01
cid000002612	J01
cid000003360	N02
cid000005379	J01
cid000005379	S01
cid000003890	S01
cid000002310	R07
cid000005219	C01
cid003032788	M03
cid000002524	A11
cid000002524	D05
cid000005918	N07
cid000004417	C04
cid000002536	B02
cid000004165	C03
cid000071637	N04
cid000071749	A02
cid000102258	V03
cid000002729	N05
cid000065039	J01
cid000213043	J01
cid000006049	V03
cid000060020	J01
cid000000838	A01
cid000000838	B02
cid000000838	C01
cid000000838	R01
cid000000838	R03
cid000000838	S01
cid000004688	C02
cid000003249	A11
cid000003180	N01
cid000003180	R02
cid000002372	C07
cid000071301	C07
cid000002097	M01
cid000002431	C01
cid000358641	J01
cid000005120	V09
cid000070846	B01
cid000003007	N06
cid000065632	R05
cid000002344	N04
cid000009015	D11
cid000002629	J01
cid000060796	L02
cid051508717	M01
cid000027991	H01
cid000005965	S01
cid000001084	V03
cid000002662	L01
cid000002662	M01
cid000072105	G01
cid000072105	P01
cid000071124	A11
cid000004583	J01
cid000004583	S01
cid000004583	S02
cid000000175	G01
cid000000175	S02
cid000004891	P02
cid000042396	C01
cid000023403	C10
cid000000977	V03
cid000005277	A14
cid000003467	D06
cid000003467	J01
cid000003467	S01
cid000003467	S02
cid000003467	S03
cid000036975	R03
cid000005860	A03
cid000003961	C09
cid000004830	N05
cid000008024	N01
cid000035802	P02
cid000020543	A12
cid000000774	L03
cid000007436	A01
cid000007436	B02
cid000010404	P03
cid000002678	R06
cid000003148	A04
cid000093860	L01
cid000003364	J01
cid000028891	R05
cid000002904	C03
cid000003738	V08
cid000024766	M01
cid000006104	M01
cid000005566	N05
cid000004633	D04
cid000004633	S01
cid016131180	B02
cid000004605	C01
cid000018830	H01
cid000018735	N01
cid000005709	R01
cid000005709	S01
cid000002673	J01
cid000068780	G01
cid000001814	D06
cid000002008	L01
cid000004976	N06
cid000059768	C07
cid000004168	A03
cid000005611	V08
cid000003562	N01
cid000008771	C05
cid024832095	S01
cid000004724	C07
cid000002161	A01
cid000002161	R03
cid000008271	N03
cid000021771	N06
cid000000311	A09
cid000002355	D05
cid000012453	N05
cid000031072	H03
cid000003762	R03
cid000008762	A04
cid006436232	B03
cid000004908	P01
cid004517618	V03
cid000041653	J01
cid000056338	N03
cid000003406	V03
cid044565928	A07
cid044565928	J01
cid000071132	C01
cid000003404	N06
cid023671663	B05
cid000019396	R06
cid000005672	L01
cid000002646	J01
cid000003250	G02
cid000004421	J01
cid054681041	J01
cid006850719	A06
cid000003463	C10
cid000000206	B05
cid000000206	V04
cid000000206	V06
cid005251896	A10
cid000443082	J01
cid000120507	R05
cid000005073	N05
cid000002441	N05
cid000011259	A10
cid000016759	C05
cid000067686	D01
cid000003966	C01
cid000013790	G03
cid000011439	G04
cid000002656	J01
cid000013355	A06
cid000003740	V08
cid000004107	M03
cid000002732	C03
cid000000291	N06
cid000022424	R05
cid000004616	N05
cid000003767	J04
cid000014888	L01
cid000060695	M03
cid000062819	G03
cid000003824	M01
cid000003303	R05
cid000003303	S01
cid000004870	C03
cid000001079	A16
cid000068740	M05
cid000004745	N04
cid000004831	J01
cid000069594	C03
cid000087819	R03
cid000004666	L01
cid000024199	A03
cid000003889	J01
cid000008944	N01
cid000019254	N05
cid000012675	V08
cid000002471	C03
cid000114790	A02
cid000005316	J01
cid000005733	M01
cid000002802	N03
cid000004158	N06
cid000003169	R05
cid016137271	A10
cid000000951	C01
cid000003487	N05
cid000064949	D08
cid000064949	S01
cid000005560	C03
cid000004585	N05
cid000005875	H02
cid000065679	M01
cid000071807	J01
cid000036089	R05
cid000004612	P02
cid006433101	S01
cid000003182	R03
cid000003025	C05
cid000003025	D04
cid000003025	N01
cid000003025	S01
cid000004264	D06
cid000004264	R01
cid003086257	L01
cid000021723	P01
cid000003592	N02
cid000064655	A02
cid000016098	C10
cid000005455	P03
cid000005335	S01
cid000051767	N05
cid000068712	C02
cid000017794	S01
cid000005645	A05
cid015979285	J05
cid000008550	C02
cid000071339	J01
cid044134877	D06
cid044134877	G01
cid044134877	J01
cid044134877	S01
cid000000611	A09
cid000068911	P01
cid000104799	L01
cid000129806	C10
cid000004855	J01
cid000004909	N03
cid000077254	D01
cid000170190	A02
cid000002311	C09
cid000004536	G03
cid000163296	J05
cid016683012	P01
cid000004514	N06
cid000024550	A01
cid000000237	P01
cid000021719	D11
cid000004680	A03
cid000004680	G04
cid000003325	A02
cid000004675	M03
cid000432452	A01
cid000000772	B01
cid000003054	G03
cid000003054	L02
cid000004865	D06
cid000005978	L01
cid000004041	N05
cid000000450	L02
cid000003947	N06
cid000005224	J01
cid005282429	V04
cid000656635	B01
cid000030729	G01
cid000004911	M04
cid000516875	D08
cid000516875	V03
