cid000021855	ensp00000319984	antagonist	inhibitor
cid011228026	ensp00000319984	antagonist	inhibitor
cid000009458	ensp00000354612	antagonist	inhibitor
cid000000727	ensp00000295454	antagonist	inhibitor
cid000004140	ensp00000377353	antagonist	inhibitor
cid000002726	ensp00000377353	antagonist	inhibitor
cid000005568	ensp00000377353	antagonist	inhibitor
cid000003372	ensp00000377353	antagonist	inhibitor
cid000005452	ensp00000377353	antagonist	inhibitor
cid000004748	ensp00000377353	antagonist	inhibitor
cid000017011	ensp00000377353	antagonist	inhibitor
cid000018104	ensp00000377353	antagonist	inhibitor
cid000441185	ensp00000377353	antagonist	inhibitor
cid000002729	ensp00000377353	antagonist	inhibitor
cid000004747	ensp00000377353	antagonist	inhibitor
cid000006077	ensp00000377353	antagonist	inhibitor
cid000062867	ensp00000377353	antagonist	inhibitor
cid000005454	ensp00000377353	antagonist	inhibitor
cid000031304	ensp00000412673	antagonist	inhibitor
cid000002726	ensp00000316244	antagonist	inhibitor
cid000002119	ensp00000316244	antagonist	inhibitor
cid000003158	ensp00000316244	antagonist	inhibitor
cid000004449	ensp00000316244	antagonist	inhibitor
cid000004724	ensp00000316244	antagonist	inhibitor
cid000006077	ensp00000316244	antagonist	inhibitor
cid000003678	ensp00000316244	antagonist	inhibitor
cid000062867	ensp00000316244	antagonist	inhibitor
cid000009429	ensp00000316244	antagonist	inhibitor
cid000003397	ensp00000379358	antagonist	inhibitor
cid000004493	ensp00000379358	antagonist	inhibitor
cid000002375	ensp00000379358	antagonist	inhibitor
cid000068873	ensp00000379358	antagonist	inhibitor
cid000003015	ensp00000379358	antagonist	inhibitor
cid003033538	ensp00000306662	antagonist	inhibitor
cid000002092	ensp00000306662	antagonist	inhibitor
cid000004893	ensp00000306662	antagonist	inhibitor
cid000002726	ensp00000306662	antagonist	inhibitor
cid000003157	ensp00000306662	antagonist	inhibitor
cid000003869	ensp00000306662	antagonist	inhibitor
cid000005452	ensp00000306662	antagonist	inhibitor
cid000005401	ensp00000306662	antagonist	inhibitor
cid000009429	ensp00000306662	antagonist	inhibitor
cid000010100	ensp00000265572	antagonist	inhibitor
cid000004428	ensp00000265572	antagonist	inhibitor
cid000002476	ensp00000265572	antagonist	inhibitor
cid000004425	ensp00000265572	antagonist	inhibitor
cid000040841	ensp00000265572	antagonist	inhibitor
cid000004428	ensp00000234961	antagonist	inhibitor
cid000004419	ensp00000234961	antagonist	inhibitor
cid000004425	ensp00000234961	antagonist	inhibitor
cid000004196	ensp00000325120	antagonist	inhibitor
cid000014954	ensp00000385026	antagonist	inhibitor
cid000060695	ensp00000385026	antagonist	inhibitor
cid000002381	ensp00000385026	antagonist	inhibitor
cid000060168	ensp00000385026	antagonist	inhibitor
cid000001210	ensp00000385026	antagonist	inhibitor
cid000071316	ensp00000385026	antagonist	inhibitor
cid000004675	ensp00000385026	antagonist	inhibitor
cid000050190	ensp00000385026	antagonist	inhibitor
cid000039764	ensp00000385026	antagonist	inhibitor
cid000016362	ensp00000373169	antagonist	inhibitor
cid000003151	ensp00000373169	antagonist	inhibitor
cid000002729	ensp00000373169	antagonist	inhibitor
cid000115237	ensp00000373169	antagonist	inhibitor
cid000004163	ensp00000276198	antagonist	inhibitor
cid000002913	ensp00000276198	antagonist	inhibitor
cid000004199	ensp00000276198	antagonist	inhibitor
cid000003158	ensp00000276198	antagonist	inhibitor
cid000004449	ensp00000276198	antagonist	inhibitor
cid000002729	ensp00000276198	antagonist	inhibitor
cid000002801	ensp00000276198	antagonist	inhibitor
cid000115237	ensp00000276198	antagonist	inhibitor
cid000060149	ensp00000276198	antagonist	inhibitor
cid000082148	ensp00000276198	antagonist	inhibitor
cid000005650	ensp00000273430	antagonist	inhibitor
cid000130881	ensp00000273430	antagonist	inhibitor
cid000003961	ensp00000273430	antagonist	inhibitor
cid000002541	ensp00000273430	antagonist	inhibitor
cid000060878	ensp00000273430	antagonist	inhibitor
cid000065999	ensp00000273430	antagonist	inhibitor
cid000003749	ensp00000273430	antagonist	inhibitor
cid000132706	ensp00000273430	antagonist	inhibitor
cid000060921	ensp00000273430	antagonist	inhibitor
cid000060919	ensp00000273430	antagonist	inhibitor
cid011238823	ensp00000273430	antagonist	inhibitor
cid000002866	ensp00000387281	antagonist	inhibitor
cid000002756	ensp00000366506	antagonist	inhibitor
cid000004513	ensp00000366506	antagonist	inhibitor
cid000003241	ensp00000366506	antagonist	inhibitor
cid000005039	ensp00000366506	antagonist	inhibitor
cid000003325	ensp00000366506	antagonist	inhibitor
cid000004097	ensp00000366506	antagonist	inhibitor
cid000003158	ensp00000366506	antagonist	inhibitor
cid000005105	ensp00000366506	antagonist	inhibitor
cid000004095	ensp00000355155	antagonist	inhibitor
cid000003290	ensp00000355155	antagonist	inhibitor
cid000003008	ensp00000355155	antagonist	inhibitor
cid000004914	ensp00000355155	antagonist	inhibitor
cid000000702	ensp00000355155	antagonist	inhibitor
cid000002130	ensp00000355155	antagonist	inhibitor
cid000003331	ensp00000355155	antagonist	inhibitor
cid000004054	ensp00000355155	antagonist	inhibitor
cid000004601	ensp00000355155	antagonist	inhibitor
cid000003821	ensp00000355155	antagonist	inhibitor
cid000004991	ensp00000264381	antagonist	inhibitor
cid025074886	ensp00000226413	antagonist	inhibitor
cid016131215	ensp00000226413	antagonist	inhibitor
cid016136245	ensp00000226413	antagonist	inhibitor
cid000004205	ensp00000347754	antagonist	inhibitor
cid000148211	ensp00000347754	antagonist	inhibitor
cid000004914	ensp00000347754	antagonist	inhibitor
cid000003148	ensp00000347754	antagonist	inhibitor
cid000003510	ensp00000347754	antagonist	inhibitor
cid000004595	ensp00000347754	antagonist	inhibitor
cid000002099	ensp00000347754	antagonist	inhibitor
cid000001210	ensp00000347754	antagonist	inhibitor
cid000002866	ensp00000386069	antagonist	inhibitor
cid000004167	ensp00000409378	antagonist	inhibitor
cid000004919	ensp00000409378	antagonist	inhibitor
cid000003661	ensp00000409378	antagonist	inhibitor
cid000003622	ensp00000409378	antagonist	inhibitor
cid000004974	ensp00000409378	antagonist	inhibitor
cid000005593	ensp00000409378	antagonist	inhibitor
cid000005512	ensp00000409378	antagonist	inhibitor
cid000003158	ensp00000409378	antagonist	inhibitor
cid011228026	ensp00000409378	antagonist	inhibitor
cid003033538	ensp00000368766	antagonist	inhibitor
cid000002092	ensp00000368766	antagonist	inhibitor
cid000004893	ensp00000368766	antagonist	inhibitor
cid000003157	ensp00000368766	antagonist	inhibitor
cid000005401	ensp00000368766	antagonist	inhibitor
cid000004771	ensp00000367309	antagonist	inhibitor
cid000003675	ensp00000367309	antagonist	inhibitor
cid000002153	ensp00000308549	antagonist	inhibitor
cid000003182	ensp00000308549	antagonist	inhibitor
cid000004740	ensp00000308549	antagonist	inhibitor
cid000009433	ensp00000308549	antagonist	inhibitor
cid000020585	ensp00000308549	antagonist	inhibitor
cid000005429	ensp00000308549	antagonist	inhibitor
cid000002153	ensp00000336630	antagonist	inhibitor
cid000003182	ensp00000336630	antagonist	inhibitor
cid000004740	ensp00000336630	antagonist	inhibitor
cid000020585	ensp00000336630	antagonist	inhibitor
cid000005429	ensp00000336630	antagonist	inhibitor
cid000004771	ensp00000340684	antagonist	inhibitor
cid000003675	ensp00000340684	antagonist	inhibitor
cid000004167	ensp00000372750	antagonist	inhibitor
cid000003661	ensp00000372750	antagonist	inhibitor
cid000003622	ensp00000372750	antagonist	inhibitor
cid000004974	ensp00000372750	antagonist	inhibitor
cid000005512	ensp00000372750	antagonist	inhibitor
cid000003158	ensp00000372750	antagonist	inhibitor
cid011228026	ensp00000372750	antagonist	inhibitor
cid000115237	ensp00000176183	antagonist	inhibitor
cid000002524	ensp00000229022	antagonist	inhibitor
cid000005472	ensp00000307259	antagonist	inhibitor
cid000002806	ensp00000307259	antagonist	inhibitor
cid006918456	ensp00000307259	antagonist	inhibitor
cid000004163	ensp00000258400	antagonist	inhibitor
cid000005568	ensp00000258400	antagonist	inhibitor
cid000004199	ensp00000258400	antagonist	inhibitor
cid000003158	ensp00000258400	antagonist	inhibitor
cid000002729	ensp00000258400	antagonist	inhibitor
cid000002801	ensp00000258400	antagonist	inhibitor
cid000003226	ensp00000285900	antagonist	inhibitor
cid000003763	ensp00000285900	antagonist	inhibitor
