cid000005668	C04A
cid000000253	A11H
cid006918182	M05B
cid005381226	J04A
cid000208908	L01X
cid000039214	L01A
cid000004043	S01B
cid000011192	A16A
cid000005471	J01C
cid000000864	A16A
cid000002733	M03B
cid000000187	S01E
cid000002548	M02A
cid000002548	N01B
cid016129629	J01X
cid000157688	L01C
cid000003015	G03H
cid000010101	N02A
cid005353894	V03A
cid000065589	N06A
cid000002978	A04A
cid000005002	N05A
cid000037465	L01D
cid000033625	C02C
cid000666418	J04A
cid000016575	R06A
cid000032744	L03A
cid000002550	C09A
cid000071798	C02A
cid000004748	N05A
cid000005917	R07A
cid000122197	V09A
cid000029566	B05C
cid000022502	J01C
cid000017506	B02B
cid000667490	L01B
cid000003512	D01A
cid000003512	D01B
cid000002612	J01D
cid000003360	N02B
cid000005379	J01M
cid000005379	S01A
cid000003890	S01E
cid000002310	R07A
cid000005219	C01D
cid003032788	M03A
cid000002524	A11C
cid000002524	D05A
cid000005918	N07X
cid000004417	C04A
cid000002536	B02A
cid000004165	C03B
cid000071637	N04A
cid000071749	A02A
cid000102258	V03A
cid000002729	N05A
cid000065039	J01C
cid000213043	J01E
cid000006049	V03A
cid000060020	J01M
cid000000838	A01A
cid000000838	B02B
cid000000838	C01C
cid000000838	R01A
cid000000838	R03A
cid000000838	S01E
cid000004688	C02K
cid000003249	A11C
cid000003180	N01B
cid000003180	R02A
cid000002372	C07A
cid000071301	C07A
cid000002097	M01A
cid000002431	C01B
cid000358641	J01E
cid000005120	V09A
cid000070846	B01A
cid000003007	N06B
cid000065632	R05C
cid000002344	N04A
cid000009015	D11A
cid000002629	J01D
cid000060796	L02B
cid051508717	M01A
cid000027991	H01B
cid000005965	S01E
cid000001084	V03A
cid000002662	L01X
cid000002662	M01A
cid000072105	G01A
cid000072105	P01A
cid000071124	A11D
cid000004583	J01M
cid000004583	S01A
cid000004583	S02A
cid000000175	G01A
cid000000175	S02A
cid000004891	P02B
cid000042396	C01C
cid000023403	C10A
cid000000977	V03A
cid000005277	A14A
cid000003467	D06A
cid000003467	J01G
cid000003467	S01A
cid000003467	S02A
cid000003467	S03A
cid000036975	R03A
cid000036975	R03C
cid000005860	A03B
cid000003961	C09C
cid000004830	N05A
cid000008024	N01A
cid000035802	P02C
cid000020543	A12C
cid000000774	L03A
cid000007436	A01A
cid000007436	B02B
cid000010404	P03A
cid000002678	R06A
cid000003148	A04A
cid000093860	L01X
cid000003364	J01C
cid000028891	R05D
cid000002904	C03A
